step,key,value
0,loss,1.105501413345337
1,loss,1.0860073566436768
2,loss,1.0779415369033813
3,loss,1.0039269924163818
4,loss,0.9887048602104187
5,loss,0.9317317605018616
6,loss,0.9931387901306152
7,loss,0.9454038143157959
8,loss,0.8800872564315796
9,loss,0.8319567441940308
10,loss,0.8055664300918579
11,loss,0.7335898280143738
12,loss,0.7428810596466064
13,loss,0.7123399972915649
14,loss,0.657096266746521
15,loss,0.6694964170455933
16,loss,0.6035512685775757
17,loss,0.5614440441131592
18,loss,0.5351020693778992
19,loss,0.5135394334793091
20,loss,0.49588221311569214
21,loss,0.4640159606933594
22,loss,0.42149779200553894
23,loss,0.4457389712333679
24,loss,0.3374757766723633
25,loss,0.3370930850505829
26,loss,0.3491920232772827
27,loss,0.3333803117275238
28,loss,0.24762094020843506
29,loss,0.22959592938423157
30,loss,0.20267456769943237
31,loss,0.1924976259469986
32,loss,0.18427051603794098
33,loss,0.13963785767555237
34,loss,0.17947275936603546
35,loss,0.11364302784204483
36,loss,0.10435262322425842
37,loss,0.10645786672830582
38,loss,0.0688827857375145
39,loss,0.08935654163360596
40,loss,0.0875745639204979
41,loss,0.06379891186952591
42,loss,0.07326748222112656
43,loss,0.07378501445055008
44,loss,0.06583110243082047
45,loss,0.053259916603565216
46,loss,0.04139261320233345
47,loss,0.13184505701065063
48,loss,0.0948120579123497
49,loss,0.15927833318710327
50,loss,0.10162463039159775
51,loss,0.0435311496257782
52,loss,0.1334562599658966
53,loss,0.10160808265209198
54,loss,0.053322579711675644
55,loss,0.022821154445409775
56,loss,0.022345423698425293
57,loss,0.04454360902309418
58,loss,0.04533645883202553
59,loss,0.06508132815361023
60,loss,0.05438084527850151
61,loss,0.09216784685850143
62,loss,0.04925834387540817
63,loss,0.10822165012359619
64,loss,0.07627994567155838
65,loss,0.14361341297626495
66,loss,0.02592267468571663
67,loss,0.0754939392209053
68,loss,0.037927038967609406
69,loss,0.05416826531291008
70,loss,0.05213221162557602
71,loss,0.12027916312217712
72,loss,0.08606541156768799
73,loss,0.05067741498351097
74,loss,0.11129012703895569
75,loss,0.09924811124801636
76,loss,0.07464440166950226
77,loss,0.08067307621240616
78,loss,0.1750703901052475
79,loss,0.05728612095117569
80,loss,0.06332533061504364
81,loss,0.05742775648832321
82,loss,0.05817805230617523
83,loss,0.03185123950242996
84,loss,0.03229672461748123
85,loss,0.021030433475971222
86,loss,0.02525806613266468
87,loss,0.048074427992105484
88,loss,0.09519423544406891
89,loss,0.01501454133540392
90,loss,0.02665868028998375
91,loss,0.115166574716568
92,loss,0.045665234327316284
93,loss,0.1192488744854927
94,loss,0.008599184453487396
95,loss,0.07600981742143631
96,loss,0.021556394174695015
97,loss,0.06115112453699112
98,loss,0.009206670336425304
99,loss,0.03801869601011276
100,loss,0.03849373757839203
101,loss,0.07409520447254181
102,loss,0.029244137927889824
103,loss,0.04837128520011902
104,loss,0.09086480736732483
105,loss,0.016990065574645996
106,loss,0.07593996822834015
107,loss,0.0702424943447113
108,loss,0.01037618424743414
109,loss,0.008948242291808128
110,loss,0.03979567810893059
111,loss,0.08399469405412674
112,loss,0.026820162311196327
113,loss,0.08538185060024261
114,loss,0.11173485219478607
115,loss,0.05359727889299393
116,loss,0.054582878947257996
117,loss,0.09537030756473541
118,loss,0.14064761996269226
119,loss,0.015504041686654091
120,loss,0.14350561797618866
121,loss,0.051589928567409515
122,loss,0.07774021476507187
123,loss,0.017960377037525177
124,loss,0.10448884963989258
125,loss,0.1411830335855484
126,loss,0.05594052001833916
127,loss,0.053372204303741455
128,loss,0.045668426901102066
129,loss,0.07707229256629944
130,loss,0.10803583264350891
131,loss,0.027201775461435318
132,loss,0.12855848670005798
133,loss,0.020127005875110626
134,loss,0.20549410581588745
135,loss,0.02516111731529236
136,loss,0.14814075827598572
137,loss,0.0895538404583931
138,loss,0.05187315493822098
139,loss,0.1882806122303009
140,loss,0.10436898469924927
141,loss,0.10698401182889938
142,loss,0.19671544432640076
143,loss,0.10504911839962006
144,loss,0.16145077347755432
145,loss,0.10197549313306808
146,loss,0.16653002798557281
147,loss,0.09278009086847305
148,loss,0.08122384548187256
149,loss,0.11543373763561249
150,loss,0.1419227421283722
151,loss,0.12719641625881195
152,loss,0.046962298452854156
153,loss,0.09860824793577194
154,loss,0.22648876905441284
155,loss,0.14358414709568024
156,loss,0.029767410829663277
157,loss,0.1506538838148117
158,loss,0.07330134510993958
159,loss,0.15506666898727417
160,loss,0.16697077453136444
161,loss,0.08910343796014786
162,loss,0.09783615171909332
163,loss,0.05441667139530182
164,loss,0.07992839813232422
165,loss,0.17714692652225494
166,loss,0.034227609634399414
167,loss,0.028137782588601112
168,loss,0.13788655400276184
169,loss,0.1091209426522255
170,loss,0.06685710698366165
171,loss,0.105876624584198
172,loss,0.04217725247144699
173,loss,0.051083553582429886
174,loss,0.07749298214912415
175,loss,0.14688640832901
176,loss,0.11805321276187897
177,loss,0.23651516437530518
178,loss,0.07906482368707657
179,loss,0.13583724200725555
180,loss,0.06195000559091568
181,loss,0.24379506707191467
182,loss,0.10741187632083893
183,loss,0.26118841767311096
184,loss,0.06840871274471283
185,loss,0.11720727384090424
186,loss,0.17884671688079834
187,loss,0.0747784674167633
188,loss,0.19055858254432678
189,loss,0.18954908847808838
190,loss,0.12805436551570892
191,loss,0.09629692882299423
192,loss,0.06896475702524185
193,loss,0.18367308378219604
194,loss,0.10547477751970291
195,loss,0.23720531165599823
196,loss,0.012978832237422466
197,loss,0.010622024536132812
198,loss,0.19130288064479828
199,loss,0.021578604355454445
200,loss,0.18523858487606049
201,loss,0.1355694979429245
202,loss,0.27830806374549866
203,loss,0.1275273859500885
204,loss,0.11386822164058685
205,loss,0.2978634238243103
206,loss,0.17762747406959534
207,loss,0.15772423148155212
208,loss,0.21087253093719482
209,loss,0.12219016253948212
210,loss,0.16896386444568634
211,loss,0.27231913805007935
212,loss,0.05504107475280762
213,loss,0.17595499753952026
214,loss,0.0870242565870285
215,loss,0.17468014359474182
216,loss,0.14932756125926971
217,loss,0.22406837344169617
218,loss,0.10410124063491821
219,loss,0.31126293540000916
220,loss,0.15095609426498413
221,loss,0.2111276090145111
222,loss,0.3026546835899353
223,loss,0.31788575649261475
224,loss,0.18030144274234772
225,loss,0.11537858843803406
226,loss,0.1382143497467041
227,loss,0.13390009105205536
228,loss,0.12576743960380554
229,loss,0.17649294435977936
230,loss,0.10132099688053131
231,loss,0.12329113483428955
232,loss,0.23224402964115143
233,loss,0.1374218612909317
234,loss,0.21935106813907623
235,loss,0.20492660999298096
236,loss,0.24687206745147705
237,loss,0.2226436734199524
238,loss,0.16452796757221222
239,loss,0.253939151763916
240,loss,0.1339530497789383
241,loss,0.18927732110023499
242,loss,0.0587499774992466
243,loss,0.2620473802089691
244,loss,0.1891678124666214
245,loss,0.25795602798461914
246,loss,0.38454028964042664
247,loss,0.15132752060890198
248,loss,0.34162086248397827
249,loss,0.16470050811767578
250,loss,0.024234073236584663
251,loss,0.12394833564758301
252,loss,0.187054842710495
253,loss,0.19498106837272644
254,loss,0.028889117762446404
255,loss,0.2670324742794037
256,loss,0.20543688535690308
257,loss,0.1078512892127037
258,loss,0.2161131054162979
259,loss,0.17209255695343018
260,loss,0.1898205578327179
261,loss,0.20985913276672363
262,loss,0.14971376955509186
263,loss,0.26662343740463257
264,loss,0.2863174378871918
265,loss,0.1493699550628662
266,loss,0.04204118251800537
267,loss,0.29448559880256653
268,loss,0.09865912795066833
269,loss,0.18357235193252563
270,loss,0.17228466272354126
271,loss,0.2490217387676239
272,loss,0.08581769466400146
273,loss,0.13771748542785645
274,loss,0.41324809193611145
275,loss,0.07786477357149124
276,loss,0.2985377013683319
277,loss,0.35291633009910583
278,loss,0.15701794624328613
279,loss,0.28481924533843994
280,loss,0.28834545612335205
281,loss,0.3295641839504242
282,loss,0.2517092823982239
283,loss,0.16428308188915253
284,loss,0.17580744624137878
285,loss,0.1675795465707779
286,loss,0.10919462144374847
287,loss,0.17689281702041626
288,loss,0.11396605521440506
289,loss,0.21145787835121155
290,loss,0.2203471064567566
291,loss,0.2368067353963852
292,loss,0.17083556950092316
293,loss,0.11929519474506378
294,loss,0.12172167003154755
295,loss,0.4031972587108612
296,loss,0.011335576884448528
297,loss,0.1710491180419922
298,loss,0.15380947291851044
299,loss,0.14541611075401306
300,loss,0.36544865369796753
301,loss,0.17086179554462433
302,loss,0.15510672330856323
303,loss,0.17411959171295166
304,loss,0.13616858422756195
305,loss,0.12927885353565216
306,loss,0.23323598504066467
307,loss,0.4118635654449463
308,loss,0.22091443836688995
309,loss,0.12794283032417297
310,loss,0.10413100570440292
311,loss,0.1200648620724678
312,loss,0.2880516052246094
313,loss,0.19738806784152985
314,loss,0.18803422152996063
315,loss,0.09729579091072083
316,loss,0.1650785207748413
317,loss,0.17353659868240356
318,loss,0.19178837537765503
319,loss,0.328271746635437
320,loss,0.11689209938049316
321,loss,0.08251146227121353
322,loss,0.3714868128299713
323,loss,0.2670450210571289
324,loss,0.08954886347055435
325,loss,0.19783316552639008
326,loss,0.21932916343212128
327,loss,0.1320638507604599
328,loss,0.191178560256958
329,loss,0.17690123617649078
330,loss,0.15499389171600342
331,loss,0.17846237123012543
332,loss,0.3485330045223236
333,loss,0.2700372636318207
334,loss,0.22133409976959229
335,loss,0.1978101134300232
336,loss,0.4708040952682495
337,loss,0.2330109030008316
338,loss,0.19015580415725708
339,loss,0.31929096579551697
340,loss,0.2528318166732788
341,loss,0.009894712828099728
342,loss,0.11463406682014465
343,loss,0.17360270023345947
344,loss,0.18761543929576874
345,loss,0.08131346106529236
346,loss,0.08520640432834625
347,loss,0.4604267477989197
348,loss,0.1032508909702301
349,loss,0.21724604070186615
350,loss,0.1438581347465515
351,loss,0.09027895331382751
352,loss,0.41309887170791626
353,loss,0.5201087594032288
354,loss,0.3449282646179199
355,loss,0.19524872303009033
356,loss,0.22627222537994385
357,loss,0.21892674267292023
358,loss,0.15551981329917908
359,loss,0.12854060530662537
360,loss,0.20768070220947266
361,loss,0.19454486668109894
362,loss,0.11622576415538788
363,loss,0.08958455175161362
364,loss,0.10048364847898483
365,loss,0.3257341980934143
366,loss,0.117955282330513
367,loss,0.08565817028284073
368,loss,0.09943150728940964
369,loss,0.32485270500183105
370,loss,0.22380495071411133
371,loss,0.2482547014951706
372,loss,0.10306502133607864
373,loss,0.07853984087705612
374,loss,0.09857556968927383
375,loss,0.17023061215877533
376,loss,0.29557082056999207
377,loss,0.23491902649402618
378,loss,0.0688900277018547
379,loss,0.20222246646881104
380,loss,0.17027349770069122
381,loss,0.146370068192482
382,loss,0.1426604837179184
383,loss,0.11818598210811615
384,loss,0.32479768991470337
385,loss,0.32429319620132446
386,loss,0.12945280969142914
387,loss,0.12556760013103485
388,loss,0.31824320554733276
389,loss,0.14505842328071594
390,loss,0.12285687029361725
391,loss,0.1241588443517685
392,loss,0.06411608308553696
393,loss,0.15042898058891296
394,loss,0.11659589409828186
395,loss,0.20906327664852142
396,loss,0.42383721470832825
397,loss,0.2054119110107422
398,loss,0.09096382558345795
399,loss,0.25450196862220764
400,loss,0.6087629795074463
401,loss,0.0855254977941513
402,loss,0.0476829931139946
403,loss,0.15485450625419617
404,loss,0.07453720271587372
405,loss,0.12437909096479416
406,loss,0.17498508095741272
407,loss,0.10954850912094116
408,loss,0.1702040135860443
409,loss,0.2605821192264557
410,loss,0.03284833952784538
411,loss,0.13372454047203064
412,loss,0.18850353360176086
413,loss,0.21349287033081055
414,loss,0.1667640507221222
415,loss,0.12262006103992462
416,loss,0.21202893555164337
417,loss,0.14420489966869354
418,loss,0.18663151562213898
