step,key,value
0,loss,1.0869262218475342
1,loss,1.1067171096801758
2,loss,1.086372971534729
3,loss,0.9791536927223206
4,loss,0.9926201105117798
5,loss,0.9250533580780029
6,loss,0.9826829433441162
7,loss,0.9163808226585388
8,loss,0.8620631098747253
9,loss,0.8329755067825317
10,loss,0.8046090006828308
11,loss,0.7409773468971252
12,loss,0.7204853296279907
13,loss,0.7000169157981873
14,loss,0.6204704642295837
15,loss,0.6574511528015137
16,loss,0.6004761457443237
17,loss,0.5263386368751526
18,loss,0.5390859842300415
19,loss,0.5151816606521606
20,loss,0.44363394379615784
21,loss,0.4688452482223511
22,loss,0.4528462588787079
23,loss,0.44406595826148987
24,loss,0.36469566822052
25,loss,0.3755214512348175
26,loss,0.3571251630783081
27,loss,0.33779406547546387
28,loss,0.27545613050460815
29,loss,0.24581046402454376
30,loss,0.2197967767715454
31,loss,0.2238517552614212
32,loss,0.17739138007164001
33,loss,0.1756637543439865
34,loss,0.15987591445446014
35,loss,0.1396617740392685
36,loss,0.1208619475364685
