step,reward,step_count,lr
1000,-6.036824703216553,199,0.0002999259840548597
2000,-6.221473693847656,199,0.0002997040092642407
3000,-5.686376094818115,199,0.000299334294690462
4000,-7.0623459815979,199,0.0002988172051971717
5000,-5.712102890014648,199,0.00029815325108927063
1000,-6.821329116821289,199,0.00029734308760930326
2000,-5.8587493896484375,199,0.00029638751429081204
3000,-5.593601703643799,199,0.0002952874741692946
4000,-6.31511926651001,199,0.00029404405285154137
5000,-5.549866676330566,199,0.0002926584774442729
6000,-6.011816501617432,199,0.00029113211534313374
7000,-5.132689476013184,199,0.0002894664728832376
1000,-6.102844715118408,199,0.00029265847744427303
2000,-5.294731616973877,199,0.0002713525491562421
3000,-6.002694129943848,199,0.00023816778784387096
4000,-6.075175762176514,199,0.0001963525491562421
5000,-7.2884321212768555,199,0.00015
6000,-4.978317737579346,199,0.0001036474508437579
7000,-6.407377243041992,199,6.183221215612905e-05
8000,-6.966339111328125,199,2.86474508437579e-05
9000,-6.2953057289123535,199,7.341522555726971e-06
10000,-6.627739429473877,199,0.0
1000,0.8110000491142273,16,0.00029265847744427303
2000,0.8950000405311584,32,0.0002713525491562421
3000,0.9340000152587891,47,0.00023816778784387096
4000,0.9580000638961792,47,0.0001963525491562421
5000,0.9640000462532043,57,0.00015
6000,0.9770000576972961,88,0.0001036474508437579
7000,0.9770000576972961,93,6.183221215612905e-05
8000,0.9820000529289246,109,2.86474508437579e-05
9000,0.9890000224113464,144,7.341522555726971e-06
10000,0.9880000352859497,147,0.0
