step,reward,step_count,lr
1000,9.075942039489746,10,0.0002999259840548597
2000,9.11630916595459,12,0.0002997040092642407
3000,9.159643173217773,20,0.000299334294690462
4000,9.172409057617188,27,0.0002988172051971717
5000,9.207812309265137,27,0.00029815325108927063
6000,9.23315715789795,32,0.00029734308760930326
7000,9.236359596252441,37,0.00029638751429081204
8000,9.252893447875977,39,0.0002952874741692946
9000,9.259217262268066,42,0.00029404405285154137
10000,9.252922058105469,42,0.0002926584774442729
11000,9.266326904296875,67,0.00029113211534313374
12000,9.260783195495605,51,0.0002894664728832376
13000,9.273411750793457,72,0.0002876631938525971
14000,9.278651237487793,76,0.0002857240578699029
15000,9.273785591125488,65,0.00028365097862825513
16000,9.280723571777344,55,0.0002814460020065795
17000,9.276287078857422,82,0.0002791113040505915
18000,9.261526107788086,56,0.00027664918882530225
19000,9.274369239807129,61,0.00027406208614118424
20000,9.290504455566406,70,0.0002713525491562421
21000,9.286121368408203,63,0.00026852325185635354
22000,9.279229164123535,81,0.00026557698641636835
23000,9.279731750488281,68,0.0002625166604445689
24000,9.280474662780762,70,0.0002593452941132117
25000,9.287078857421875,93,0.0002560660171779821
26000,9.293045043945312,70,0.0002526820658893033
27000,9.286102294921875,74,0.00024919677979854776
28000,9.288188934326172,88,0.00024561359846230347
29000,9.290080070495605,96,0.0002419360580479465
30000,9.294703483581543,122,0.000238167787843871
31000,9.298436164855957,103,0.0002343125066778196
32000,9.305235862731934,81,0.00023037401924684946
33000,9.30952262878418,164,0.00022635621236255567
34000,9.307860374450684,122,0.00022226305111525726
35000,9.322611808776855,230,0.00021809857496093199
36000,9.296611785888672,122,0.00021386689373476087
37000,9.307498931884766,108,0.00020957218359521706
38000,9.298992156982422,135,0.0002052186829027017
39000,9.314581871032715,138,0.00020081068803679371
40000,9.310885429382324,164,0.0001963525491562421
41000,9.311453819274902,189,0.00019184866590588439
42000,9.310708999633789,174,0.00018730348307472816
43000,9.318863868713379,301,0.00018272148620948137
44000,9.306772232055664,208,0.0001781071971878587
45000,9.298361778259277,142,0.00017346516975603462
46000,9.316106796264648,234,0.00016879998503464564
47000,9.326377868652344,256,0.00016411624699777712
48000,9.315308570861816,279,0.000159418577929397
49000,9.328133583068848,421,0.00015471161386171925
50000,9.328666687011719,432,0.00015
51000,9.332144737243652,490,0.00014528838613828076
52000,9.326065063476562,254,0.000140581422070603
53000,9.328166007995605,397,0.00013588375300222286
54000,9.320584297180176,392,0.00013120001496535439
55000,9.32026195526123,288,0.00012653483024396538
56000,9.3281831741333,579,0.00012189280281214133
57000,9.32628345489502,606,0.00011727851379051867
58000,9.329275131225586,504,0.00011269651692527179
59000,9.328946113586426,695,0.00010815133409411564
60000,9.32575798034668,278,0.00010364745084375795
61000,9.328520774841309,504,9.918931196320631e-05
62000,9.325638771057129,535,9.478131709729837e-05
63000,9.331924438476562,876,9.042781640478291e-05
64000,9.32700252532959,987,8.613310626523912e-05
65000,9.322369575500488,407,8.1901425039068e-05
66000,9.32401180267334,525,7.77369488847427e-05
67000,9.321057319641113,520,7.364378763744432e-05
68000,9.331197738647461,999,6.962598075315048e-05
69000,9.31577205657959,358,6.568749332218041e-05
70000,9.328689575195312,432,6.183221215612906e-05
71000,9.320170402526855,433,5.8063941952053524e-05
72000,9.326367378234863,637,5.438640153769655e-05
73000,9.33202838897705,999,5.0803220201452255e-05
74000,9.330190658569336,809,4.73179341106967e-05
75000,9.331378936767578,944,4.393398282201789e-05
76000,9.333369255065918,998,4.0654705886788306e-05
77000,9.317242622375488,999,3.748333955543108e-05
78000,9.331588745117188,999,3.4423013583631635e-05
79000,9.331941604614258,999,3.147674814364644e-05
80000,9.328496932983398,806,2.86474508437579e-05
81000,9.332660675048828,998,2.593791385881576e-05
82000,9.333478927612305,999,2.335081117469777e-05
83000,9.332528114318848,999,2.0888695949408438e-05
84000,9.328455924987793,999,1.8553997993420465e-05
85000,9.331942558288574,999,1.6349021371744834e-05
86000,9.33337116241455,998,1.4275942130097098e-05
87000,9.333480834960938,999,1.2336806147402864e-05
88000,9.330556869506836,999,1.0533527116762298e-05
89000,9.3312406539917,999,8.867884656866183e-06
90000,9.331551551818848,999,7.341522555726971e-06
91000,9.333104133605957,998,5.955947148458557e-06
92000,9.331631660461426,999,4.712525830705355e-06
93000,9.333894729614258,999,3.612485709187901e-06
94000,9.333342552185059,999,2.6569123906966916e-06
95000,9.328072547912598,999,1.8467489107293509e-06
96000,9.333022117614746,998,1.1827948028283352e-06
97000,9.331299781799316,999,6.657053095380005e-07
98000,9.332773208618164,999,2.9599073575926616e-07
99000,9.333113670349121,999,7.401594514025999e-08
100000,9.324127197265625,999,0.0
1000,1.0,57,0.00029265847744427303
2000,1.0,68,0.0002713525491562421
3000,1.0,119,0.00023816778784387096
4000,1.0,164,0.0001963525491562421
5000,1.0,137,0.00015
6000,0.999000072479248,224,0.0001036474508437579
7000,1.0,228,6.183221215612905e-05
8000,1.0,292,2.86474508437579e-05
9000,1.0,213,7.341522555726971e-06
10000,1.0,435,0.0
